chr	size	sample	num_plants	shape	rate
5	26975502	P2	443	2.06430027725063	1.19540525859089
5	26975502	P3	379	2.52104505604746	1.40511187682645
5	26975502	P6	451	2.05886779460948	1.43516132205391
5	26975502	P7	418	2.20360949081181	1.45285294504627
5	26975502	P8	427	2.04009424950646	1.53908170413297
5	26975502	P9	445	2.24702347628112	1.44081476505057
5	26975502	P10	409	2.15240680595278	1.47707111348102
5	26975502	P12	453	1.956750287687	1.35952128883774
5	26975502	P15	434	2.33609855815634	1.47578860879163
5	26975502	P17	377	2.15207412348638	1.31496263298925
5	26975502	P19	384	2.67604779783305	1.55461778270483
5	26975502	P20	342	2.79005729804922	1.47026131884874
5	26975502	P35	438	2.05834475668266	1.45412097326936
5	26975502	P66	435	3.02098191642428	1.72006169325204
5	26975502	P129	462	1.8281890402462	1.36449650499797
5	26975502	P145	234	2.44955663376276	1.57905303664046
5	26975502	P169	447	2.39261538461538	1.65046153846154
