P2	P3	P6	P7	P8	P9	P10	P12	P15	P17	P19	P20	P35	P66	P129	P145	P169	
2.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	0.0	0.0	1.0	3.0	0.0	2.0	
0.0	1.0	1.0	2.0	0.0	0.0	3.0	0.0	2.0	0.0	3.0	2.0	3.0	2.0	1.0	1.0	0.0	
0.0	1.0	0.0	0.0	1.0	1.0	3.0	1.0	4.0	5.0	2.0	2.0	2.0	1.0	0.0	2.0	2.0	
2.0	2.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	3.0	1.0	2.0	3.0	1.0	2.0	1.0	2.0	
2.0	1.0	2.0	1.0	1.0	1.0	3.0	3.0	1.0	3.0	0.0	2.0	1.0	1.0	2.0	3.0	3.0	
1.0	3.0	1.0	1.0	1.0	2.0	2.0	0.0	1.0	1.0	3.0	2.0	1.0	0.0	1.0	1.0	2.0	
2.0	1.0	1.0	0.0	1.0	6.0	0.0	1.0	0.0	2.0	1.0	1.0	2.0	3.0	1.0	5.0	0.0	
1.0	2.0	3.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	
0.0	2.0	1.0	2.0	2.0	2.0	0.0	1.0	0.0	3.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	
2.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	3.0	2.0	2.0	1.0	2.0	1.0	2.0	
1.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	
0.0	0.0	1.0	2.0	2.0	2.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	
1.0	2.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	4.0	1.0	2.0	0.0	0.0	
0.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	2.0	0.0	2.0	
2.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	1.0	3.0	0.0	
2.0	1.0	0.0	2.0	1.0	0.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	0.0	2.0	
4.0	3.0	1.0	1.0	0.0	3.0	1.0	0.0	1.0	2.0	1.0	1.0	3.0	0.0	2.0	2.0	1.0	
1.0	1.0	0.0	0.0	3.0	2.0	2.0	2.0	0.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	
2.0	2.0	1.0	0.0	1.0	2.0	2.0	0.0	2.0	2.0	1.0	2.0	2.0	0.0	2.0	1.0	1.0	
1.0	1.0	1.0	3.0	0.0	3.0	2.0	0.0	1.0	1.0	2.0	0.0	2.0	1.0	1.0	1.0	2.0	
0.0	1.0	0.0	2.0	1.0	2.0	1.0	0.0	3.0	3.0	1.0	4.0	2.0	0.0	2.0	2.0	1.0	
1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	0.0	1.0	2.0	3.0	0.0	1.0	2.0	
1.0	3.0	2.0	2.0	0.0	2.0	3.0	1.0	3.0	2.0	1.0	3.0	0.0	0.0	2.0	2.0	3.0	
2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	0.0	4.0	3.0	0.0	
1.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	
