chr	size	sample	num_plants	shape	rate
3	23459830	P2	443	1.6532241964464	1.3413522326479
3	23459830	P3	379	2.04853871606374	1.42719884814
3	23459830	P6	451	1.7704494018752	1.34877141933398
3	23459830	P7	418	2.02496515017108	1.53618045875048
3	23459830	P8	427	1.7686897890705	1.30437053529033
3	23459830	P9	445	1.72597398324047	1.36908809722283
3	23459830	P10	409	1.95915804495184	1.52919015340706
3	23459830	P12	453	1.86203086132226	1.376019543522
3	23459830	P15	434	1.88925173334934	1.4615601644806
3	23459830	P19	384	2.25	1.5
3	23459830	P20	342	2.02167638236459	1.21942384968023
3	23459830	P35	438	1.81332118300058	1.38609891475437
3	23459830	P66	435	1.89099200948325	1.40133138692541
3	23459830	P129	462	1.48669673410106	1.19452850635598
3	23459830	P145	234	2.24723874256585	1.52421410365336
3	23459830	P169	447	1.8981508286893	1.51243033943693
