chr	length	num_plants	distri	shape	rate	lambda	size	mu
1	30427671	6601	gamma	2.50865081752102	1.47078817359057	NA	NA	NA
1	30427671	6601	pois	NA	NA	1.70565065899106	NA	NA
1	30427671	6601	nbinom	NA	NA	NA	253529.921507962	1.70583396214836
2	19698289	6601	gamma	1.54709784939559	1.39342241831905	NA	NA	NA
2	19698289	6601	pois	NA	NA	1.11028632025451	NA	NA
2	19698289	6601	nbinom	NA	NA	NA	2317875.46081256	1.1103873228038
3	23459830	6601	gamma	1.84384180876518	1.37450025744314	NA	NA	NA
3	23459830	6601	pois	NA	NA	1.34146341463415	NA	NA
3	23459830	6601	nbinom	NA	NA	NA	2551996.88543248	1.34157520799621
4	18585056	6601	gamma	1.64579513413549	1.41126184469062	NA	NA	NA
4	18585056	6601	pois	NA	NA	1.16618694137252	NA	NA
4	18585056	6601	nbinom	NA	NA	NA	2097100.62380859	1.16600010227177
5	26975502	6601	gamma	2.20830508080888	1.42284254157339	NA	NA	NA
5	26975502	6601	pois	NA	NA	1.55203757006514	NA	NA
5	26975502	6601	nbinom	NA	NA	NA	14447709.5365073	1.55192506796325
