chr	length	num_plants	distri	shape	rate	lambda	size	mu
1	30427671	6978	gamma	2.51998964899001	1.4694148717851	NA	NA	NA
1	30427671	6978	pois	NA	NA	1.71496130696475	NA	NA
1	30427671	6978	nbinom	NA	NA	NA	6860231.65019435	1.71489130939444
2	19698289	6978	gamma	1.51550605850401	1.35094548751162	NA	NA	NA
2	19698289	6978	pois	NA	NA	1.12181140728002	NA	NA
2	19698289	6978	nbinom	NA	NA	NA	1775255.07267523	1.12162353677778
3	23459830	6978	gamma	1.80392160522162	1.3348637286571	NA	NA	NA
3	23459830	6978	pois	NA	NA	1.35139008311837	NA	NA
3	23459830	6978	nbinom	NA	NA	NA	1680530.07554035	1.35154430350246
4	18585056	6978	gamma	1.63032064349974	1.39844836513106	NA	NA	NA
4	18585056	6978	pois	NA	NA	1.16580682143881	NA	NA
4	18585056	6978	nbinom	NA	NA	NA	9150142.65327504	1.16575845830171
5	26975502	6978	gamma	2.20379953779308	1.41577178923956	NA	NA	NA
5	26975502	6978	pois	NA	NA	1.55660647750072	NA	NA
5	26975502	6978	nbinom	NA	NA	NA	14447709.5365073	1.55649397541675
