dist	chr	size	num_plants	shape	rate	lambda	size	mu
gamma	1	30427671	6978	2.51999	1.469415	NA	NA	NA
pois	1	30427671	6978	NA	NA	1.714961	NA	NA
nbinom	1	30427671	6978	NA	NA	NA	6860232	1.714891
gamma	2	19698289	6978	1.515506	1.350945	NA	NA	NA
pois	2	19698289	6978	NA	NA	1.121811	NA	NA
nbinom	2	19698289	6978	NA	NA	NA	1775255	1.121624
gamma	3	23459830	6978	1.803922	1.334864	NA	NA	NA
pois	3	23459830	6978	NA	NA	1.35139	NA	NA
nbinom	3	23459830	6978	NA	NA	NA	1680530	1.351544
gamma	4	18585056	6978	1.630321	1.398448	NA	NA	NA
pois	4	18585056	6978	NA	NA	1.165807	NA	NA
nbinom	4	18585056	6978	NA	NA	NA	9150143	1.165758
gamma	5	26975502	6978	2.2038	1.415772	NA	NA	NA
pois	5	26975502	6978	NA	NA	1.556606	NA	NA
nbinom	5	26975502	6978	NA	NA	NA	14447710	1.556494
	
